h,2009,2010,2011,2012,2013,2014,2015,2016,2017
38.0,55196.78680588085,55006.95492957573,50160.81731585663,68276.19385936312,61157.47499152631,63010.04329693205,59868.50437401445,56096.47425704703,70991.85113865479
39.0,57451.23366375121,56769.673142256455,52223.84070746658,69612.90638879815,62517.031858029215,64456.39887278053,61574.7837435415,58136.2528182402,72198.95595009593
40.0,62169.09187563472,61790.127770044615,57441.06453210604,72604.59633562893,65997.22642826341,67931.92419111685,64954.74490658075,61132.850583854306,75455.25725841326
41.0,61964.43592580415,62200.31326962739,58490.314573904536,72087.5554825559,66098.85443323456,67782.40642061774,64977.15574009096,61304.1140427378,75177.76189946127
42.0,59862.94246201769,60874.76644465989,57158.326047482056,70259.48663486572,64000.800730607974,65782.73338115354,62968.33011817613,59669.4197106403,73297.19719764052
43.0,56567.981669745626,57435.68486131586,54530.900737896474,65416.27674333713,59504.3261106623,61768.13038686806,59171.731186697136,56120.06144000703,69259.63972488913
44.0,55154.77847933669,55861.86786554826,54050.352819162945,62349.766629862956,56471.29476230116,58847.95678752841,56907.21832791586,53898.76412299124,66010.80944546666
45.0,55759.05209962588,56494.417083325905,55042.62514352771,60186.68211063518,55034.95229204227,56680.457679136634,55806.03146316438,53116.28496653554,64048.06342580242
46.0,53228.85827777329,54113.18231469536,52939.824854841376,54588.57023924186,50424.42846651786,52399.367229947995,52433.20101987837,50106.35531490057,59886.70033136477
47.0,50429.3803114068,51017.3612283706,49745.8475247355,50984.9183324024,46646.125081701626,48382.72998028158,48858.67307500051,46764.154042437745,56462.834517834126
48.0,48220.17318981477,48825.02767665318,47553.817980445405,48255.65732827607,44104.2957573677,45933.48650162959,46529.983738440016,44166.48732775584,54211.92024079667
49.0,46743.41894130055,47124.91672443509,46346.535401613735,47479.53768921396,42725.54248992579,45152.33243534856,45072.26088602616,42926.62192781489,52840.45279366859
50.0,45543.48879334662,45471.22149980136,45989.61837919867,47897.190559730836,42445.50087622752,45557.14925615565,44558.849063792346,42371.8103634079,52940.77803882815
51.0,44977.99208986744,44932.58317271766,47159.27416349863,48944.6728927384,43627.77333405854,46641.40737419678,44850.18989942502,42231.31279534181,53990.991243477205
52.0,44261.696265460465,43965.40894212248,49782.39926799488,51365.71947905014,45702.11383552519,48898.41371934993,45034.56993875899,41868.27528369657,56659.215848784756
53.0,42973.440918105975,42453.11977129229,55424.26834520647,56654.50021372373,50401.84446541316,53108.30523020565,45362.58304740837,41358.58702582175,62396.96604003811
54.0,45172.9538104955,43325.3036756683,62935.6515850078,63023.148129653535,56148.34354650395,58619.103057172644,47984.65056810248,43089.68114914708,68562.6994579828
55.0,47920.72922111532,44875.37308988112,67291.7593405073,66641.31738225963,59443.349307679615,61875.945922057894,51460.367110685336,45759.134942402896,72071.94845888329
56.0,50934.55736651487,47410.967138617816,69310.70562995154,68081.8847698713,61413.803404064645,63570.48065438108,55013.50289630346,49063.39161619094,73737.98790243732
57.0,52174.341567856856,49980.02368863626,71126.46722892455,69896.55299069999,63604.4515112205,64827.65047980211,57597.8794697304,52105.11268833721,75406.16192567561
