,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,44768,44958,46209,38406,35142,43588,44546,41913,46313
1,42497,43357,44236,36501,33723,41811,42967,40331,44748
2,40512,41577,42502,35305,32375,40757,41582,39162,43345
3,38809,40239,41479,34568,31876,39988,40964,38676,42347
4,37225,39146,39923,33501,31325,39052,40247,38034,41405
5,34516,37415,37054,31650,29721,37302,38808,36900,39849
6,34340,36844,37075,32109,29644,37586,39045,37260,40171
7,34893,37079,37694,32981,30414,38240,39721,38078,40998
8,37165,38899,40026,35063,32596,40649,42031,40344,43352
9,39418,40984,42757,37709,35215,42894,44661,42814,45713
10,41962,43556,45760,40771,38327,45335,47702,45546,47933
11,43376,45168,46897,41374,39713,46286,48784,46372,48740
12,43131,45006,46277,40913,39760,45686,48064,45775,47898
13,42926,44513,45775,40577,39716,45312,47094,45485,47464
14,43288,44689,45682,40865,40308,45866,47165,46147,47932
15,45582,47069,47270,43536,42418,48899,49669,48782,50326
16,48980,50440,51397,47675,45587,53773,54197,52519,54676
17,49643,51420,52165,48918,46921,54668,54914,53128,55415
18,48559,50351,51343,47909,45938,53750,53908,52005,54244
19,46685,48600,49536,45597,44006,51276,51779,49820,52230
20,46323,47511,48873,44366,42979,49765,50575,48139,50965
21,47195,48469,49465,43556,42902,49157,50384,47440,50736
22,44835,46351,46970,39163,39648,45914,47620,44439,48068
23,42347,43731,43949,35115,36656,42526,44909,41257,45545
24,40205,41647,41708,32570,34795,40282,43001,39121,43824
25,38950,40550,40489,31784,34127,39623,41999,38271,43137
26,38389,39944,39711,32147,34263,39811,41796,37965,43094
27,38563,39962,39407,33971,35179,41111,42736,38807,44130
28,38951,39604,38394,38118,37158,43647,44305,39525,47075
29,39709,39023,36450,44584,41837,48770,46731,40469,52845
30,43178,41494,37746,51823,47067,54751,50523,43463,59074
31,46758,44873,40223,56247,50505,58714,54246,47248,62978
32,49749,48209,44044,58559,51904,61170,57321,50897,65297
33,51165,50078,46999,61059,53418,62828,59405,53389,67137
34,52429,51656,50112,62753,54761,64359,61014,55371,68655
35,53184,52257,50307,63183,55381,64611,61406,55922,69083
36,52274,51440,48296,62463,54842,63856,60400,55201,68009
37,51283,50802,46952,61511,54345,62748,59251,54554,66973
38,51244,50959,46659,61140,54160,61949,58771,54700,66516
39,53337,52592,48578,62337,55364,63371,60446,56689,67647
40,57717,57243,53431,65016,58446,66788,63764,59611,70698
41,57527,57623,54407,64553,58536,66641,63786,59778,70438
42,55576,56395,53168,62916,56678,64675,61814,58184,68676
43,52517,53209,50724,58579,52696,60728,58087,54723,64893
44,51205,51751,50277,55833,50010,57857,55864,52557,61849
45,51766,52337,51200,53896,48738,55726,54783,51794,60010
46,49417,50131,49244,48883,44655,51517,51472,48859,56111
47,46818,47263,46273,45656,41309,47568,47963,45600,52903
48,44767,45232,44234,43212,39058,45160,45677,43067,50794
49,43396,43657,43111,42517,37837,44392,44246,41858,49509
50,42282,42125,42779,42891,37589,44790,43742,41317,49603
51,41757,41626,43867,43829,38636,45856,44028,41180,50587
52,41092,40730,46307,45997,40473,48075,44209,40826,53087
53,39896,39329,51555,50733,44635,52214,44531,40329,58463
54,41938,40137,58542,56436,49724,57632,47105,42017,64240
55,44489,41573,62594,59676,52642,60834,50517,44620,67528
56,47287,43922,64472,60966,54387,62500,54005,47842,69089
57,48438,46302,66161,62591,56327,63736,56542,50808,70652
58,49502,48891,67000,63624,58181,65227,58511,53782,71731
59,50239,49692,67258,63294,58301,65331,58776,54113,71575
60,50007,48422,66368,62230,57489,63621,57848,52635,70887
61,50161,47521,65330,61210,56125,62233,56983,51487,69936
62,51129,47382,64734,61096,55477,61768,56997,51389,69682
63,53769,49893,65613,62642,56115,63372,58807,53460,70787
64,58346,54129,69109,65026,58398,66851,61744,57420,73456
65,58914,55223,68835,64498,58180,66745,61833,58169,72856
66,57612,54069,67118,62463,56025,64400,59726,56896,70970
67,54606,51966,64188,57984,52063,60535,56045,54473,67116
68,53364,51092,61785,55047,49803,57791,53711,52999,63844
69,54309,52157,60913,53315,48213,56150,52912,52522,61512
70,51770,49795,56578,48607,43634,52401,50042,49366,57600
71,49008,47204,53791,44861,40253,48162,46734,46707,54486
72,46462,44941,51514,42518,37551,45860,44511,44926,52397
73,44661,43753,50075,41893,36524,44570,43264,43950,51175
74,43086,43205,49481,42386,36925,44450,42579,43896,51335
75,42277,43571,50019,43735,38127,44816,42689,45239,52291
76,41023,44570,51521,46176,40677,44810,42312,48212,54732
77,38682,48193,55831,51143,45760,45266,41469,54565,60412
78,39339,53556,61880,57455,51089,48147,42939,60941,66186
79,41511,56857,64991,60299,54604,51522,45224,64750,69251
80,44291,58919,66961,61388,56527,55130,48447,66379,70415
81,46708,60324,67626,62412,58364,57453,51339,67676,71783
82,49445,61495,68240,63924,60157,59022,54557,68993,73047
83,50077,61932,68360,63715,59952,58857,54726,69371,72956
84,48883,61270,67358,62658,57783,57597,53110,68527,72092
85,47801,60665,66057,61576,55891,56415,51542,67408,71058
86,47748,60261,65566,60931,55192,56430,51211,66946,70397
87,50008,61349,66396,62328,55773,58724,53188,68071,71039
88,53783,65184,70076,66132,57545,62204,58066,71193,73552
89,54233,64950,69970,65718,56940,62410,59154,71085,72842
90,53009,63907,68342,63711,54685,60109,57827,69218,70893
91,51015,60948,64959,59642,50808,56121,55345,65293,66964
92,50293,59205,62536,56389,48394,53635,53757,62109,63986
93,51108,58347,61755,54764,46831,52600,53557,59701,61782
94,48500,55551,57878,49902,43296,49266,50491,55525,57857
95,46078,53297,54769,46341,39557,45615,47550,52320,54641
96,44068,51163,52656,44338,37389,42883,45537,50034,52596
97,42923,49721,51264,43477,36268,41518,44730,49021,51725
98,42137,48922,50627,43642,36424,41197,44863,49028,51628
99,42671,49203,50937,44848,37087,41429,46162,49969,52761
100,44633,50640,52934,46843,37268,41145,49323,52952,55228
101,48593,54785,57267,51898,37614,40357,54980,58470,60436
102,54543,60992,63364,58410,40480,42035,61123,64505,66078
103,58044,63970,65790,62150,44214,44757,64614,67481,68769
104,59167,64783,66732,63645,47645,48287,65759,68431,69597
105,59910,65411,67573,64770,50441,51415,67021,69696,70379
106,60984,66271,68326,66180,52374,54277,68088,70748,70982
107,61421,66488,68081,66271,52586,54325,68111,70612,70845
108,60788,66132,67380,65357,51492,52666,67197,69671,69952
109,60141,65248,66027,64179,50279,51048,66231,68836,68982
110,59843,64694,65346,63335,50220,50721,65749,68455,68530
111,61741,65363,66447,64064,51775,52782,66985,69570,69482
112,64948,68283,70702,66745,54897,57484,70634,72290,73208
113,64808,68976,70611,66359,55323,58970,70630,71755,72972
114,62859,67865,69169,63456,53540,57640,68798,69817,71055
115,59320,64787,64867,59750,50285,54888,64504,65838,67546
116,57263,61942,61291,56330,48233,53247,61579,62451,64701
117,57065,60837,60534,54440,47851,53082,59714,59707,63034
118,53778,56903,57031,49934,44498,49625,55366,55272,59481
119,51393,53995,54049,46237,40088,46638,52163,52128,57271
120,49154,51815,51821,43505,37034,44887,49849,50103,55236
121,47729,50321,50071,42404,35942,44168,48859,48997,53835
122,46609,49454,49080,42589,35978,44440,48910,48885,53439
123,46243,49559,49227,43554,36075,45634,49678,49753,53681
124,46939,50533,49486,44852,35299,48087,51444,51443,55081
125,48942,54066,52149,48186,34344,53115,55594,55375,58204
126,53570,59468,56847,52909,35677,58809,60580,60387,62694
127,56051,61945,59642,56066,38519,61610,63012,63337,65179
128,57317,62833,61104,57802,41711,62994,64274,64608,66133
129,58669,63884,62814,59220,44464,64752,65788,66051,66857
130,59777,64938,64434,60829,47515,66065,67050,67574,67423
131,59865,64994,64354,60848,47847,66158,66903,67399,66917
132,58980,64128,63160,59366,46070,65108,65559,66451,65326
133,58102,63125,61889,57867,44831,64078,64118,65330,64226
134,57686,62716,61137,57065,44923,63531,63816,64924,64216
135,59092,63390,62042,58631,47239,65057,65565,66161,65987
136,63480,66524,65411,62623,50769,68861,69857,69424,70233
137,63781,67648,65173,62644,52054,68984,69870,69464,70406
138,62331,66439,62989,60339,50946,67189,68348,67660,68644
139,59794,63308,59698,56657,48621,63404,64587,64076,65518
140,58695,61222,57827,54231,47545,60439,61685,61195,63233
141,58978,60573,56434,53034,47646,57997,59626,59131,62353
142,55835,57111,52230,49547,43885,53333,55695,54981,59769
143,53277,54061,48493,46447,40382,49502,52224,51976,57205
144,51541,51688,46848,43758,38325,47506,49874,49943,54926
145,50060,50290,46173,42190,37916,46648,49271,48810,53184
146,49426,49504,46132,41724,38550,47160,49591,48739,52117
147,49894,50040,47590,41905,40628,48818,50670,50148,51556
148,51854,52251,49643,41448,44797,52602,54095,53631,51372
149,57368,57664,53956,41218,53045,60868,62092,60845,51170
150,63689,64486,59555,43859,60924,68674,68995,67459,53956
151,65533,66659,62456,47770,63570,71033,71911,70127,57809
152,66431,66796,63830,51019,64136,70601,72103,70099,61154
153,66984,67289,64882,53482,64880,71044,73006,70648,63177
154,67635,67868,65889,55056,66033,71925,73909,71914,64204
155,67627,67812,65935,54528,65701,71439,73545,71908,63844
156,67081,67186,64961,53607,65418,70774,72856,71640,62599
157,66303,66318,63485,52170,64441,69483,71711,71068,61592
158,65589,66071,62934,51935,63914,69050,71036,70951,61440
159,66203,66256,64507,53699,64546,70110,71876,71857,62909
160,69245,69530,67128,56965,66899,74300,75520,74189,65993
161,68920,70325,66457,56909,66623,74355,75044,73572,65892
162,66763,69366,64123,55040,64746,72381,73016,71404,63670
163,63293,66340,60309,51448,60791,68099,68789,67189,60190
164,61051,63738,57821,49164,57524,64209,65384,63861,58006
165,60227,62153,56869,49071,54826,60837,62922,61063,57555
166,56530,58461,52997,45729,49792,55626,58078,56470,54865
167,53748,55341,49693,41994,46059,51708,54578,52769,51965
168,51718,53153,47484,39252,43866,49274,52200,50759,49522
169,50294,51585,46212,38273,43220,48234,51317,49677,48145
170,49232,50510,45403,37783,43801,48974,51611,50065,47377
171,49480,50897,45450,38333,45056,50471,52728,51262,47024
172,51404,52784,44683,38030,47821,54080,55574,54591,46422
173,56381,57548,44071,36841,55276,62580,63370,61890,45531
174,62467,64071,47555,38583,62291,70022,70419,68403,47315
175,64338,66313,51830,41271,63983,72222,73043,70896,50233
176,64645,66785,54364,44874,63763,71508,73225,70677,53757
177,64916,67401,55798,47724,64837,72068,73947,70898,56639
178,65222,68027,56686,50686,66640,73129,74869,71455,59182
179,64985,68069,56939,50826,66277,72320,74320,70547,59023
180,64246,66788,55551,49281,65924,71738,73845,69008,57574
181,63474,65745,54209,48070,65037,70481,72975,67422,56237
182,63304,65066,54291,47773,64629,69646,72552,66910,55864
183,64105,65664,56249,49266,64806,70736,73339,67999,57395
184,68046,69108,60900,53775,67129,74560,75322,71609,61583
185,68079,69571,60886,54974,66857,74363,74590,71094,62478
186,66368,67826,58719,53957,64904,72237,72453,68732,60976
187,63597,64220,54416,51413,61160,67798,68339,64475,58487
188,62141,61985,52164,50110,57974,64419,64816,61278,57064
189,61559,61411,51978,50593,55561,61166,61822,59126,57054
190,58427,58556,48440,47343,50344,56180,57039,55220,54285
191,56134,56357,44557,44352,46594,52192,53259,51847,51844
192,53901,54357,41837,42278,44815,49962,51095,49686,50119
193,52059,52955,40702,41509,43980,49093,50164,48391,49437
194,50952,51845,40473,42012,44424,49642,50462,47855,49655
195,50589,51403,40719,43725,46094,51294,52048,47741,51007
196,52439,50970,40468,47594,49027,54892,55256,47568,54816
197,57181,50405,38692,56562,56616,63338,63019,47987,63348
198,63266,52576,40082,64443,63609,70670,70059,51155,70367
199,65166,55607,43152,67717,66138,73079,73359,54833,73403
200,65438,58712,46584,67907,65665,72215,73623,57889,73922
201,65887,60814,49725,69142,66584,73157,74440,59708,74964
202,65537,62197,53412,70144,67969,74156,75230,60611,75521
203,65110,62602,53362,69912,67192,73370,74587,59918,75374
204,63734,61571,51887,69422,66975,72936,73180,58055,74858
205,62682,59878,50440,68810,66006,72074,71629,56748,74079
206,62442,59388,49723,68413,65363,71577,71065,56705,73383
207,63679,60229,51675,68281,65561,72686,71697,58533,73901
208,67688,63236,56303,70279,67259,75718,74217,62734,76645
209,67275,64299,57551,69742,66470,75158,73116,62858,76012
210,64967,62678,56413,67914,64161,72842,70344,60715,74163
211,61502,59335,54029,63704,59944,68389,65806,56769,70273
212,59884,57697,52754,59644,56426,65092,62325,54432,67172
213,59841,57941,53881,56376,53971,61741,59724,53642,64361
214,57137,56065,50378,51117,48839,56480,55469,50461,60225
215,54721,53311,47449,46724,45347,52633,51379,47002,57343
216,52712,51000,46013,44153,43580,50602,48635,44754,55401
217,51051,49590,45319,43108,42649,49787,47198,43431,54403
218,49368,48107,45631,43419,43015,50301,46935,43088,54554
219,48119,47138,46970,45114,43807,52166,47056,42936,55580
220,46758,45745,49990,48441,46405,55506,47185,42721,58515
221,45054,43458,58413,56174,53912,63242,48342,42310,66161
222,47228,44170,65879,63247,61361,70746,51922,44281,72754
223,50471,46722,69030,65524,63706,72931,55935,47500,74782
224,53519,49746,69407,65919,63757,71930,58709,50773,74670
225,54876,51746,69526,67141,64452,72319,60707,53442,75295
226,55503,54398,70023,67480,65333,73152,62470,56054,76070
227,55094,54543,69737,67128,64925,72808,62581,55838,75626
228,53708,52611,69267,66370,64633,71374,60847,53963,75156
229,52676,51258,68385,65000,64226,69765,59120,52555,74341
230,52874,50884,68197,66114,64126,68855,58289,52308,73427
231,55091,51949,68885,66830,64562,69803,59751,54344,73899
232,60510,56620,72006,69980,67022,73559,63581,58869,77015
233,61168,59123,71481,70128,66733,73052,63818,59995,76606
234,59462,58793,69737,68283,65177,70842,61667,58522,74629
235,56309,56553,65895,64347,61505,66392,57671,55713,70605
236,55204,55160,63649,60812,58242,63011,55499,53781,67354
237,56708,56106,61753,57948,56048,60856,54441,53531,64686
238,54432,53812,56886,52963,51259,56475,51243,50053,60260
239,52360,51530,53570,49008,48012,52939,47846,47223,57257
240,50179,49510,51711,46956,45921,50609,45623,45321,55315
241,48809,48602,50672,46162,44720,49342,44391,44679,54066
242,47489,48104,50452,46227,44721,49360,44118,45276,54317
243,46420,48616,51369,47138,45443,49297,44472,47256,55753
244,45139,50866,53945,49892,47820,48927,44257,51607,59001
245,42713,57089,61421,57472,54898,49398,43460,61150,66587
246,43587,63443,68273,65138,62144,53005,45238,68794,73239
247,46137,66093,70568,67361,64833,56583,48120,72188,75757
248,49008,66924,69834,66682,64537,59598,52075,72472,76174
249,50641,67796,70115,67163,65314,61868,55439,73385,77117
250,52593,68898,70213,67839,66150,63004,58472,74195,77905
251,52175,69031,70382,67363,65670,62215,58307,73895,77456
252,49878,68524,70142,66854,64283,60621,56792,73533,76782
253,48871,67511,69654,66292,62858,59346,55334,72416,75802
254,49054,66892,69883,65973,62296,58961,54947,71850,75186
255,51263,66849,70247,66153,63114,60273,55964,72346,75216
256,57489,69473,72851,69211,66252,64087,60644,74927,77583
257,59130,70517,72321,69152,65765,64271,61954,74226,76829
258,58179,69733,70162,67831,63594,62078,60394,72262,74854
259,56577,66858,66189,63808,59485,57994,57667,67916,70799
260,56162,64265,62673,60415,56457,55678,55991,64315,67253
261,57718,62967,60361,57579,54861,54599,55958,61231,64437
262,55729,59053,55518,52409,51446,51212,52692,56085,60231
263,53427,55873,51666,48698,48256,48113,49852,52367,57150
264,51796,53774,49477,46824,45807,45903,48221,50085,54965
265,50751,52538,48482,45765,44046,44872,47476,49230,54004
266,50148,51955,49104,46127,43458,44667,47913,49742,54123
267,50600,52302,50114,47187,43202,44658,49282,51316,55304
268,53323,54271,53152,50197,42440,44200,53532,54826,58378
269,60451,60837,60837,57520,42143,43465,62861,63352,65935
270,67931,67604,68985,64302,45491,45261,70481,70621,72513
271,69671,69715,71106,66686,49223,47936,73539,73418,74926
272,69319,69721,70742,66349,51884,51009,73864,73197,74585
273,69116,70035,71302,67141,53755,53433,75016,73909,75273
274,68891,70226,72664,68474,54770,56188,75822,74500,75868
275,68576,70462,72909,67965,54357,56167,75678,73679,75073
276,67887,69951,72192,67304,52506,53814,75224,73395,74453
277,67024,69081,71219,66406,51182,52211,74090,72405,73514
278,67373,68666,70458,66040,51086,51769,73469,71795,72696
279,68867,68926,70858,66455,52159,53572,73647,71841,73085
280,72737,72034,72838,69215,56564,59513,75920,74863,75891
281,72826,73130,72003,68688,57461,61589,75419,74455,75189
282,71270,72159,69998,66576,55799,60340,73172,72656,73038
283,68268,68926,65744,61949,51960,57716,68931,68370,69073
284,66202,66326,63149,58884,50062,56139,65472,64676,65829
285,64923,64397,61178,56598,50250,56161,62128,61565,63013
286,61097,60593,56382,51912,47786,53028,57304,56815,58495
287,58330,57709,51717,47884,45027,50017,53605,53347,55374
288,56660,55812,49386,45832,42591,48109,51447,51286,53713
289,54672,54351,48167,44841,41370,47550,50379,50443,53104
290,53901,53481,48563,45101,40492,47932,50859,50917,53333
291,53894,54061,49662,46323,40065,49714,52390,52239,54610
292,55771,56034,52408,48946,38996,53790,55836,55651,57860
293,61850,62174,60065,56093,37581,63454,64005,64087,65128
294,68241,68976,67952,63273,38900,71474,71177,71385,71684
295,70410,71193,70848,65738,41184,74199,73326,74122,74686
296,69682,71106,70744,65460,44530,74146,72711,74048,74880
297,69488,71663,71715,66190,47500,74516,73463,74758,75873
298,69483,72084,72853,66648,50169,75674,74038,75511,76221
299,68493,71727,72485,66421,50537,75048,73907,74840,75511
300,67967,71549,72071,65154,48788,74543,72938,74377,74432
301,67209,70770,71139,64202,47285,73556,71660,73416,72892
302,66697,70386,70597,63420,47082,72916,70933,73045,71789
303,67633,70354,70501,63908,48620,73101,71383,73287,72256
304,71568,73133,72724,67322,53065,76150,75010,75723,75132
305,71299,73992,71993,66662,54747,75617,74874,74986,74378
306,69369,72740,70105,63824,53454,73484,72480,72926,71893
307,65752,68928,65689,59396,51049,68985,67848,68760,67900
308,63468,65904,62475,56263,50033,65437,64158,65037,64588
309,62201,64238,59918,54524,50820,62550,60995,62181,62289
310,58379,60545,55234,50598,48166,57323,56068,57729,58848
311,54807,56186,50711,47263,45356,53529,52417,54427,55895
312,53003,54058,48011,44990,43536,51384,50182,52401,53823
313,52032,52495,46860,43620,42580,50377,49597,51593,52508
314,51434,51937,47118,43183,42662,50759,50086,51882,51708
315,51807,52103,48860,43261,44052,52330,51780,52831,51352
316,53756,54181,52088,42687,47645,55898,55368,56291,50919
317,59971,59925,59543,42449,56228,64504,63745,64435,51314
318,66696,66378,66668,45883,63688,72210,71209,71594,54428
319,68836,68461,69719,49686,66416,74468,73442,73736,58048
320,68680,68593,69671,53070,66956,73920,73351,73125,61184
321,69212,69142,70540,55229,68091,74514,74385,73376,63135
322,69819,69836,71200,56077,68880,75136,75853,73876,64364
323,69416,69798,70815,55252,68580,74529,75222,73407,63798
324,68909,69269,69810,53170,68147,73925,74654,73145,62243
325,68120,68230,67853,51548,67245,72974,73782,72520,61021
326,67699,67521,67521,51206,66701,72638,72659,72140,60803
327,68277,67240,68200,52590,66229,73057,72788,72580,61798
328,70739,70093,70944,57557,68951,76269,75725,75845,65224
329,70197,71013,70292,58167,68945,75786,75517,75517,65513
330,68231,69779,67585,56198,67132,73818,73439,73569,63291
331,64583,66324,62987,52543,63481,69463,69237,69358,59280
332,62534,63228,60201,50660,60568,65780,65815,65531,56870
333,60826,61605,58684,50784,58529,62542,62870,62717,56256
334,56978,57775,54454,48094,54340,57374,58224,58259,53229
335,53414,54672,49912,45261,51675,53620,54752,54872,50627
336,51383,52604,47383,42786,49658,51461,52850,52732,48626
337,50428,51447,46062,41770,48692,50471,51926,51737,47384
338,50086,50935,46320,41002,48133,51005,52310,51967,46727
339,50723,51437,46790,40644,49068,52548,53376,53224,46517
340,52678,53496,46286,40019,51551,55780,56529,56566,46074
341,59312,58974,46090,38511,58823,64175,64784,64396,45014
342,65835,65633,49374,39992,65668,71520,71828,71614,46856
343,67715,67984,53006,43171,67404,73453,74234,74320,50103
344,67195,68282,55744,46602,67303,72891,74116,74379,53791
345,67392,69138,57259,50023,68188,73259,74975,75173,56367
346,67736,69801,58750,52938,69008,74209,75623,75854,58749
347,67116,69341,58311,52445,68599,73777,75042,75214,58354
348,66053,68346,57259,49930,68015,73406,74419,73882,56602
349,65424,66811,55074,48431,67161,72616,73357,72490,55159
350,65013,66051,54807,47730,66588,72212,72656,71700,54520
351,65437,65859,55808,49246,66531,72789,72679,71940,55803
352,69037,68350,59838,55240,69306,76248,75551,74303,60590
353,68963,69039,60638,56983,69281,75873,75237,73491,62199
354,67035,67475,58549,55909,67550,73765,73158,71071,60629
355,63802,63861,55010,53714,63964,69375,68941,66779,58252
356,61752,61037,53208,52443,60721,65900,65311,63299,56916
357,60138,60138,52840,53196,58457,63101,62267,61330,57249
358,56383,56942,49401,50312,54708,58148,57441,57614,54839
359,53406,53932,46000,47883,51677,54402,53794,54305,52584
360,51325,51634,43445,46392,49706,52011,51331,52103,51032
361,50217,50164,42462,45483,48421,50948,50327,50895,50259
362,49861,49217,42293,45751,48271,51570,50848,50230,50448
363,50134,48789,42517,47217,49128,52996,52440,50023,51819
364,51879,47953,41720,50530,51824,56609,56291,49668,55748
365,57725,47460,40073,59075,58876,64871,64291,50334,64313
366,64691,50464,41698,66543,65720,72272,71516,53669,71263
367,66850,53854,44256,68585,67522,74484,73994,57520,73752
368,66676,56916,47068,68629,67900,74033,73720,60934,74020
369,66996,58678,49578,69635,68927,74808,74112,63028,74442
370,67271,59943,51946,70187,69604,75575,74701,64075,74917
371,66189,59620,51236,69605,68995,75128,73738,63649,74322
372,64753,58059,49303,68938,68632,74650,72300,62000,73987
373,63690,56887,47752,68023,67516,73836,70688,60446,72795
374,63493,56775,47408,67218,66732,73251,69593,59921,72199
375,64391,57458,48580,67191,66457,73732,70118,60703,72224
376,68337,61046,54953,70931,69348,76595,73528,64752,75705
377,68404,62847,57601,71089,69372,76000,72993,65271,76127
378,65892,61434,56606,69476,67752,73996,70513,63007,74238
379,62177,57828,54100,65613,63657,69650,66193,59130,70070
380,59943,56382,53117,62559,60452,66054,62818,56705,67102
381,59305,56615,53515,60333,58733,63050,60382,55954,64938
382,55935,54349,50292,56160,54961,57945,56227,52820,61227
383,52804,51934,47161,52619,51783,53740,52658,49676,58518
384,50732,49482,45207,50208,49759,51509,50412,47776,56599
385,49315,47536,44519,48926,48616,50567,49298,46533,55248
386,48051,46738,45327,48854,48381,50948,48929,46057,55224
387,47560,46033,47019,49862,48719,52506,49196,45779,56068
388,46239,44376,50388,52630,51108,55818,49080,45303,59223
389,44818,42324,58914,60541,58170,63869,49785,44691,66483
390,47437,42701,66836,67964,65249,71561,53319,46449,73145
391,51278,45240,68980,69827,67125,74262,57332,49596,75144
392,54072,48679,68365,69282,67064,74105,60740,53367,75196
393,55437,51170,68765,69964,67631,74590,62807,56175,75576
394,56029,53765,69151,70766,68860,74892,63795,58496,75747
395,55501,53721,68929,69976,68161,73546,62804,58320,75256
396,54382,51865,68204,69274,67587,72020,60869,56429,74838
397,53557,50363,67391,68243,66759,70613,58968,55223,73786
398,53537,49705,67375,67457,66299,69584,58144,54873,73290
399,55192,50070,67711,67475,65904,69875,58965,56041,73220
400,59781,54227,71879,71574,68887,73841,63493,60850,76805
401,60221,57036,72014,71900,69273,74030,64383,62638,76814
402,58473,56633,69885,70274,67488,71632,62261,61435,75041
403,54867,54517,65810,66756,63518,66996,58251,58889,71325
404,53754,53362,63163,63679,60924,63402,55927,57497,68079
405,54295,53978,60932,61528,58973,61118,55210,57922,65649
406,51118,51023,55013,57323,55238,57086,51967,55388,62067
407,48535,48355,51047,53791,52000,53267,48866,52972,59281
408,46010,46399,48675,51604,50084,50884,47109,51452,57389
409,44710,45423,47763,50379,48771,49480,45912,50748,56154
410,43681,45350,47968,50371,48262,49303,45379,50827,56088
411,43322,46405,49630,51166,48778,49315,45191,52286,56753
412,42723,49129,52712,54049,51392,49468,44668,56253,59685
413,40918,54989,60620,61064,58425,50195,44043,65120,67321
414,42483,61833,68434,67799,65310,53637,45874,72550,73966
415,45469,64738,70664,68825,67325,57629,48743,74909,75931
416,48783,65560,69893,68177,67890,60502,52496,74897,75978
417,51800,66077,70637,69371,68719,62306,55683,75290,76481
418,55064,67287,71469,70171,68792,63074,58950,75661,77039
419,55208,67005,70783,69605,67954,62104,58625,74914,76229
420,53842,66687,70597,68860,66500,59922,56186,74275,75684
421,53082,65658,70027,67877,65077,58102,54173,73223,74745
422,52623,65026,69789,67402,64122,57859,53393,72755,74203
423,53004,64707,69224,67630,64504,58984,54388,73163,74114
424,56493,67437,71845,71424,67460,64058,59743,77174,77474
425,57613,68671,71831,71134,67085,64773,61569,77616,77624
426,56758,67565,69926,68362,64843,62341,60325,76010,75886
427,54673,64256,65953,63736,61078,58158,57708,72221,71994
428,54387,61582,63280,60025,57879,55886,56171,69089,68772
429,55310,59748,60881,57548,56803,55160,56506,66698,66586
430,52372,55070,56107,52978,53473,51876,53703,63051,63041
431,49782,51541,51858,49252,50820,48439,50951,59729,60258
432,47668,49737,49813,47263,48524,46199,49279,57677,58360
433,46519,49043,49189,46336,47079,45022,48607,56512,57170
434,46519,49056,49718,46868,45735,44532,48923,56128,56854
435,47549,50105,51059,48035,44977,44629,50484,57018,57472
436,50136,52381,53765,50938,44186,44003,54457,60240,60607
437,57330,58516,61183,58469,43690,43468,63417,67919,67733
438,64553,65302,68624,65815,47221,45593,71146,74688,74394
439,66952,67824,70761,68088,50644,48991,73683,76326,76353
440,67055,67815,70684,68475,53952,52750,73944,76235,76107
441,67600,68318,71235,69077,55862,55647,74973,76681,76312
442,68626,68798,71823,70074,57031,58332,75821,76826,76396
443,68534,68363,71298,70072,56262,57944,75291,76093,75438
444,68398,67758,70935,69723,54566,55640,74782,75575,74644
445,68257,66724,70090,69078,53148,54005,73739,74712,73617
446,68572,66352,69609,68911,53304,53443,73114,74177,73209
447,69073,66145,69149,68806,53711,54764,72924,74371,73306
448,71893,68712,72404,70348,58102,59544,76070,77892,76989
449,71979,69869,72676,68925,59033,61276,75970,78158,77412
450,69869,68970,70669,66479,56755,59801,74016,76228,75604
451,65639,65333,66843,62375,52848,57093,69687,71944,71688
452,63247,62500,64253,58832,51349,55609,66327,68671,68565
453,61022,60407,62103,56471,51607,55723,63368,66243,66383
454,56191,55945,57297,51928,49573,52365,58969,62507,62762
455,52528,52613,53726,48680,47370,49441,55878,59499,60102
456,50806,50859,51983,46884,45407,47803,53869,57222,58006
457,49620,49667,50970,46107,43860,47070,52869,56079,56749
458,49463,49683,51129,46243,42793,47504,53244,55997,56544
459,50359,50497,52196,47800,42142,49346,54365,56893,57349
460,52646,52635,54655,50957,41455,53325,57566,59800,60221
461,59353,58712,61582,58414,39888,62675,65301,67450,67451
462,65852,65713,68940,65365,41318,70501,72350,74291,74074
463,67736,67899,70997,67138,44609,73016,74922,76265,76126
464,67623,67835,71057,67175,47885,74102,75082,76231,76004
465,67771,68057,71904,67681,50620,75155,76097,76770,76143
466,68383,68381,72897,68181,52994,76176,76709,77157,75944
467,67845,67688,72472,67617,53017,76041,76047,76231,75177
468,66891,67096,71903,66468,51388,75876,75552,75535,73585
469,65811,66311,71190,65417,49995,75157,74512,74244,72113
470,65153,66045,70701,64723,49206,74542,73822,73744,71459
471,65295,66044,70319,65357,49780,74299,73264,73714,71834
472,68681,68984,72802,69025,54237,76565,76599,76840,75187
473,69094,70624,72959,68968,55811,75961,76285,76965,75300
474,67243,69444,70964,66591,54441,73878,74207,75503,73278
475,63426,66084,67042,62166,51879,69238,70283,71104,69290
476,60851,62654,64558,59039,51136,65862,66789,67924,66065
477,59206,60741,62589,57455,52009,63047,63769,65569,64297
478,55070,56675,58458,53708,49565,58617,59603,61530,61140
479,51901,53484,54880,50075,47148,54931,56624,58588,58401
480,49732,51562,52699,47751,45266,52725,54467,56489,56194
