,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
18,0.124708,0.21604,0.6442859999999999,0.036807,0.016937,0.374797,0.58924,0.15583699999999998,0.239999,0.5892930000000001,0.186964,0.03675,0.234468,0.147847,0.136046,0.378539,0.677032,0.419987,0.134581,0.351421,0.039805,0.721616,0.044421,0.025301,0.10881,0.292089,0.387605,0.27328600000000003,0.329169,0.437607
19,0.111941,0.254223,0.676558,0.023328,0.018588,0.371629,0.600833,0.14335,0.229518,0.580784,0.178352,0.02922,0.243121,0.131216,0.12759,0.366743,0.685738,0.461451,0.13029100000000002,0.397779,0.030255,0.699314,0.03966,0.018581,0.091967,0.27647,0.428484,0.274924,0.321184,0.479197
20,0.101954,0.295815,0.706769,0.01493,0.018335,0.376854,0.613571,0.131198,0.217897,0.570209,0.16501,0.022953,0.250841,0.117104,0.120052,0.348966,0.689764,0.494077,0.126383,0.461047,0.021493,0.665646,0.035279000000000005,0.014184,0.078689,0.268966,0.467745,0.277056,0.333868,0.520053
21,0.10437,0.353119,0.726458,0.011885,0.016418000000000002,0.38717,0.620325,0.122944,0.200577,0.562533,0.152176,0.019277,0.26626,0.112969,0.11762,0.320554,0.699155,0.491596,0.120147,0.525638,0.015823,0.6197600000000001,0.034119,0.012114,0.072892,0.266833,0.5193909999999999,0.272986,0.351306,0.552876
22,0.117136,0.40263,0.737323,0.010968,0.014748,0.399208,0.6208819999999999,0.119783,0.188245,0.557496,0.14940499999999998,0.018247,0.29322,0.118029,0.115854,0.298926,0.704307,0.469774,0.114092,0.58911,0.013142,0.556422,0.034864,0.011678,0.070876,0.259479,0.571862,0.265781,0.35782800000000003,0.58416
23,0.130726,0.4462350000000001,0.7663449999999999,0.010451,0.013845,0.41825,0.628522,0.111278,0.177807,0.555108,0.143532,0.019121,0.328282,0.127153,0.110551,0.282656,0.706334,0.462255,0.112327,0.657879,0.012644,0.500935,0.036863,0.011923,0.069953,0.256653,0.619093,0.266436,0.369192,0.611338
24,0.142354,0.469552,0.793877,0.010091,0.013238,0.448488,0.6378189999999999,0.102416,0.167134,0.533618,0.137599,0.020474000000000003,0.361647,0.136606,0.106164,0.281051,0.707961,0.460558,0.110459,0.719908,0.014823,0.4518390000000001,0.041036,0.012183,0.068537,0.258931,0.632666,0.273903,0.384658,0.639107
25,0.15048499999999998,0.494958,0.808556,0.00963,0.013025,0.488221,0.643934,0.095995,0.162591,0.514844,0.136579,0.021269,0.406515,0.145288,0.104071,0.274804,0.70455,0.475821,0.108154,0.78052,0.019430000000000003,0.403112,0.046451,0.012965,0.06666,0.255052,0.6099859999999999,0.273539,0.390687,0.673207
26,0.150927,0.5178699999999999,0.809558,0.009322,0.013156,0.5354949999999999,0.6637850000000001,0.08928,0.164523,0.485325,0.134689,0.020647,0.454209,0.154292,0.102077,0.270005,0.701693,0.486174,0.105317,0.821891,0.024125,0.368956,0.053191,0.01488,0.066851,0.249848,0.570008,0.282856,0.397056,0.709976
27,0.154289,0.521734,0.8147270000000001,0.009453,0.01372,0.577661,0.671113,0.08472400000000001,0.169681,0.46094,0.12856099999999998,0.018266,0.485012,0.162356,0.101023,0.280011,0.677501,0.499686,0.106003,0.843111,0.027963,0.341237,0.061981,0.018548,0.067299,0.240379,0.5188520000000001,0.299558,0.405418,0.742468
28,0.163714,0.51047,0.809466,0.010612,0.014252,0.622133,0.6739390000000001,0.086009,0.179082,0.4540270000000001,0.120097,0.016303,0.49462,0.170748,0.103176,0.28785700000000003,0.630393,0.503746,0.11163,0.8213280000000001,0.030938,0.332676,0.074459,0.024168,0.066755,0.226599,0.461038,0.321701,0.417027,0.770421
29,0.17794400000000002,0.490187,0.7881239999999999,0.012553,0.014621,0.6707029999999999,0.675199,0.092535,0.21247,0.4590260000000001,0.110337,0.015112,0.496188,0.178594,0.111243,0.285047,0.5706100000000001,0.49728,0.12371300000000003,0.802318,0.032093,0.345868,0.08756599999999999,0.032858,0.067062,0.214903,0.412024,0.332621,0.426521,0.800575
30,0.200015,0.474007,0.770129,0.013991,0.015084,0.711842,0.6749890000000001,0.09885,0.25319,0.449841,0.098488,0.015016,0.482966,0.189512,0.123416,0.28755,0.505923,0.47237,0.13104200000000002,0.781996,0.031935000000000005,0.362371,0.096279,0.042811,0.06673899999999999,0.210959,0.33828800000000003,0.325052,0.431856,0.803833
31,0.219881,0.464032,0.762285,0.014787,0.01589,0.737025,0.679814,0.107377,0.2922,0.44346,0.086868,0.016706,0.466326,0.199591,0.140485,0.296643,0.434263,0.428576,0.139235,0.753653,0.031063,0.384868,0.104183,0.050568,0.066064,0.203089,0.283524,0.317751,0.432665,0.799706
32,0.219532,0.447088,0.765985,0.011828,0.014634,0.75359,0.688214,0.100652,0.325409,0.427565,0.06811,0.019579,0.452752,0.210338,0.15368900000000002,0.289609,0.348349,0.381694,0.136951,0.723851,0.026876,0.391834,0.096587,0.050005,0.063587,0.184824,0.233616,0.298886,0.419008,0.791759
