,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003499037,0.003454043,0.003528275,0.003528275,0.003497219,0.0,0.003459648,0.0034984309999999998,0.0,0.003528275
8,0.019261225,0.017218894,0.01944323,0.017358081,0.015674877,0.019020536,0.02042632,0.037230671,0.02113798,0.024495759,0.019412194,0.0273808,0.027224828,0.023769612000000002,0.013205022,0.013194255,0.010881565,0.012876915,0.010246477,0.010657028,0.030855596000000002,0.046892431,0.016935146,0.027479337000000003,0.056194302,0.0,0.013716078999999999,0.031872702999999995,0.040107262000000005,0.038811022
9,0.06999891,0.047453945,0.07101771400000001,0.069921648,0.048868274,0.092156197,0.048897707,0.19528600399999999,0.088748551,0.097206946,0.06282291200000001,0.109149317,0.099797027,0.10805663199999999,0.038086313,0.045288370999999994,0.035120364,0.043377662000000004,0.051251940999999995,0.044154878,0.074222538,0.099175418,0.037909999,0.050609477,0.109583764,0.039918436,0.029487005,0.072511079,0.10543232300000001,0.12284576900000001
10,0.10635079,0.064276877,0.08506210199999999,0.096025827,0.059204688,0.136472727,0.057054195,0.304052057,0.15022117,0.116930144,0.061241208,0.152454593,0.147955207,0.172731522,0.037196294,0.068092885,0.033651297999999996,0.046072644,0.08264404,0.04348581,0.075822157,0.128232867,0.04422097,0.054760848,0.127229454,0.043970532,0.038064161,0.088213629,0.163742851,0.173168753
11,0.159913057,0.086987223,0.09779364800000001,0.12347079,0.07455033900000001,0.161159708,0.064086353,0.36144924100000003,0.17473318300000001,0.139250144,0.07453855200000001,0.163742851,0.186862733,0.189382455,0.038064161,0.069136013,0.04134037,0.058577412999999995,0.09555705699999999,0.05810064,0.094104495,0.112420865,0.054424034,0.056980675999999994,0.128073796,0.047438771,0.042574800999999995,0.08728962,0.22295346100000002,0.192741663
12,0.15786182599999998,0.090955541,0.094954371,0.12404236199999999,0.07585479,0.14695360000000002,0.068055605,0.37722789799999995,0.146030677,0.141479512,0.078248512,0.160109065,0.184600459,0.172708193,0.031063035,0.054702587000000004,0.042596835,0.071360924,0.096169782,0.062385750999999996,0.102732028,0.091812404,0.049837348,0.051426719,0.12001299800000001,0.046860282999999996,0.043114732,0.073015876,0.247906367,0.197403107
13,0.129450147,0.081864498,0.09354010800000001,0.103165856,0.069333907,0.12249386400000001,0.067558431,0.34957874299999997,0.10473494,0.125524167,0.071628898,0.145549067,0.15983602,0.13882687900000001,0.025111521,0.042147000999999996,0.036605839,0.07007419,0.07882410200000001,0.056934940999999996,0.083536816,0.072795115,0.041743699999999995,0.039734805,0.089884487,0.040270374,0.040593458,0.04720677,0.21248092600000001,0.148960153
14,0.083719745,0.052439977,0.075461257,0.0745217,0.04939584599999999,0.08766941800000001,0.049304935999999994,0.269424982,0.077953769,0.09479662900000001,0.054723669,0.09554022,0.111054708,0.085064755,0.017150474,0.031445426,0.029528645,0.051190648,0.043978577000000005,0.040285594,0.047437648,0.044336385,0.02292882,0.021095883,0.057721403,0.02225687,0.027304875,0.024436514,0.109179496,0.060779039000000014
15,0.031445426,0.027836624,0.040794067,0.027994413,0.022405832,0.031445426,0.028346589,0.09496119300000001,0.031445426,0.030672811,0.021865002,0.035533366000000004,0.039918436,0.02597292,0.008576222,0.014962975,0.015100401999999999,0.025201372000000003,0.006359703,0.024701765,0.007387024,0.008102504,0.005597735,0.004996243,0.007520118,0.004997423,0.005203162,0.006156125,0.005099258,0.005099258
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
