,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,0.571396,0.459142,0.623264,0.192014,0.001407,0.704224,0.730245,0.028305,0.240405,0.7311479999999999,0.789791,0.252589,0.140093,0.284538,0.290842,0.787129,0.283328,0.233075,0.278992,0.046421,0.309535,0.953602,0.084864,0.075141,0.312916,0.867993,0.509835,0.633117,0.5837829999999999,0.70304
1,0.532702,0.481751,0.647742,0.191325,0.0013039999999999998,0.745854,0.7456470000000001,0.028610000000000007,0.275204,0.7973640000000001,0.788445,0.263674,0.127843,0.290109,0.323013,0.818533,0.27363200000000004,0.22887800000000005,0.305311,0.083399,0.284246,0.96813,0.092082,0.093826,0.289144,0.862009,0.586348,0.4749350000000001,0.570711,0.687459
2,0.493124,0.485505,0.660654,0.18968,0.002229,0.795235,0.7571100000000001,0.029354,0.322878,0.861766,0.787428,0.27815,0.12609800000000002,0.29564,0.343434,0.847441,0.29078200000000004,0.219505,0.367412,0.128005,0.251715,0.978355,0.105386,0.112083,0.255726,0.84025,0.647874,0.361616,0.486869,0.653456
3,0.465686,0.464168,0.683619,0.179843,0.0034700000000000004,0.843368,0.802345,0.02799,0.365789,0.912019,0.78428,0.278355,0.13953800000000002,0.301146,0.343921,0.860326,0.338988,0.197717,0.472863,0.185618,0.231757,0.976289,0.116448,0.122957,0.229227,0.8319610000000001,0.705282,0.279749,0.443296,0.6802779999999999
4,0.458659,0.439904,0.728707,0.171872,0.00487,0.8671120000000001,0.864094,0.025276,0.388744,0.935434,0.779899,0.258497,0.16911099999999998,0.32166,0.334878,0.863608,0.4311180000000001,0.17347,0.564746,0.252339,0.231012,0.971237,0.125124,0.123818,0.211605,0.820031,0.709069,0.231217,0.43332,0.72718
5,0.468097,0.404243,0.772176,0.160992,0.006638,0.871001,0.902082,0.023144,0.396064,0.94346,0.777107,0.22126,0.20535100000000006,0.35436100000000004,0.333972,0.871626,0.522069,0.158212,0.6211720000000001,0.319676,0.231673,0.967093,0.134373,0.125418,0.201532,0.81504,0.666343,0.201743,0.423776,0.749024
6,0.482965,0.375724,0.80432,0.149042,0.007520999999999998,0.873267,0.943298,0.022877,0.383373,0.944949,0.7809520000000001,0.170674,0.232529,0.390123,0.338543,0.8815,0.607585,0.149278,0.65377,0.389784,0.231395,0.976281,0.13883299999999998,0.124315,0.204941,0.809197,0.646554,0.196589,0.425939,0.7706
7,0.4985189999999999,0.365449,0.827124,0.140058,0.007514,0.867907,0.962538,0.026458,0.349275,0.941914,0.790745,0.121254,0.27210500000000004,0.407776,0.323379,0.886747,0.697489,0.142844,0.667672,0.427391,0.222153,0.981866,0.136477,0.114469,0.221581,0.7898890000000001,0.592425,0.209094,0.457258,0.80102
8,0.515018,0.338385,0.8577110000000001,0.123911,0.006186,0.860334,0.969572,0.038559,0.311973,0.941052,0.791157,0.08256000000000001,0.332466,0.383169,0.32582300000000003,0.885467,0.759406,0.14510399999999998,0.673437,0.449998,0.201822,0.979767,0.12483,0.100988,0.238477,0.770827,0.554122,0.237611,0.501359,0.782809
9,0.524057,0.304569,0.8684559999999999,0.103728,0.00359,0.841324,0.972016,0.05333,0.277485,0.93994,0.770364,0.052004,0.395404,0.310387,0.35087,0.874656,0.810607,0.155911,0.676247,0.486265,0.174217,0.975573,0.104808,0.084984,0.224058,0.750808,0.553917,0.290016,0.543709,0.786535
